"가구번호","여행구분1","여행구분2","여행 월","여행 번째","당일/숙박여행 여부","여행 출발 년","여행 출발 월","여행 출발 일","여행 도착 년","여행 도착 월","여행 도착 일","여행 박","여행 일","여행 시기_주중","여행 시기_주말","여행 시기_휴가/방학","여행 시기_설날/추석","여행 시기_공휴일","여행 주 목적","여행 정보 주요 획득지_1순위","여행 정보 주요 획득지_2순위","참고한 인터넷 사이트_1순위","참고한 인터넷 사이트_2순위","동반자 수_동거 가족이나 친척","동반자 수_비동거 가족이나 친척","동반자 수_그 외 동행자","그 외 동행자 유형_친구/연인","그 외 동행자 유형_(직장)동료","그 외 동행자 유형_단체/모임","그 외 동행자 유형_기타","여행 지출 비용_총비용","여행 지출 비용_출발전 지출비용","여행지 지출비용_단체비용","여행지 지출비용_여행사 상품구입비","여행지 지출비용_숙박비","여행지 지출비용_교통비","여행지 지출비용_식/음료비","여행지 지출비용_문화/오락시설 이용료/관람료","여행지 지출비용_스포츠/레포츠 용품대여/구입비, 경기관람료","여행지 지출비용_기념품 및 쇼핑비","여행지 지출비용_여행지에서 여행관련용품 구입비","여행지 지출비용_기타비용","여행 출발 전 사전예약을 통해  이용한 서비스 여부","사전예약을 한 서비스_숙박시설","사전예약을 한 서비스_교통수단","사전예약을 한 서비스_차량대여/렌트","사전예약을 한 서비스_관광명소","사전예약을 한 서비스_레저시설","사전예약을 한 서비스_체험프로그램","사전예약을 한 서비스_기타","여행상품 구매 또는 이용 여부","구매한 여행상품","구매한 여행상품_부분 패키지 상품(교통)","구매한 여행상품_부분 패키지 상품(차량임대)","구매한 여행상품_부분 패키지 상품(숙박시설)","구매한 여행상품_부분 패키지 상품(레저시설)","구매한 여행상품_부분 패키지 상품(기타)","단체회비/단체경비에 여행상품 구매 비용 포함 여부","항목별 만족도_자연경관","항목별 만족도_문화유산","항목별 만족도_교통","항목별 만족도_숙박시설","항목별 만족도_식당 및 음식","항목별 만족도_쇼핑","항목별 만족도_관광정보 및 안내시설","항목별 만족도_관광지 편의시설","항목별 만족도_지역 관광종사자의 친절성","항목별 만족도_체험프로그램","항목별 만족도_관광지 물가","항목별 만족도_관광지 혼잡도","가중치"
10032,1,2,10,123249,1,2017,10,22,2017,10,22,0,1,,2,,,,1,2,8,,,2,2,1,,,,,50000,0,0,0,0,50000,0,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,5,9,4,9,4,9,4,4,4,9,3,4,3382.57467294379
10032,1,2,7,123244,1,2017,7,29,2017,7,29,0,1,,2,,,,1,2,8,,,2,3,1,,,,,50000,0,0,0,0,0,50000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,4,9,5,9,5,9,4,4,4,9,4,4,3382.57467294379
10032,1,2,9,123246,2,2017,9,11,2017,9,13,2,3,1,,,,,1,1,11,,,2,1,1,,,,,100000,0,0,0,0,0,100000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,4,9,4,4,4,9,4,4,4,9,3,4,3382.57467294379
10032,1,2,9,123248,1,2017,9,16,2017,9,16,0,1,,2,,,,1,2,8,,,2,3,1,,,,,50000,0,0,0,0,0,50000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,4,5,4,9,4,4,4,4,5,4,4,4,3382.57467294379
10033,1,1,5,110262,1,2017,5,10,2017,5,10,0,1,1,,,,,1,3,11,,,2,1,10,1,,,,150000,0,100000,0,0,0,50000,0,0,0,0,0,2,,,,,,,,1,2,,2,,,,2,4,5,4,9,5,9,5,5,5,9,4,4,9510.31668595092
10033,1,2,10,122911,1,2017,10,3,2017,10,3,0,1,,,,,5,1,2,11,,,2,1,1,,,,,50000,0,0,0,0,0,50000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,4,4,4,9,4,4,4,4,4,4,4,4,9510.31668595092
10033,1,2,10,122912,1,2017,10,5,2017,10,5,0,1,,,,4,,1,2,8,,,2,1,1,,,,,50000,0,0,0,0,0,50000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,5,5,5,9,5,9,5,5,5,9,5,5,9510.31668595092
10033,1,2,11,122917,2,2017,11,4,2017,11,5,1,2,,2,,,,1,3,11,,,2,1,1,,,,,10000,0,0,0,0,0,10000,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,4,9,4,4,4,9,4,4,4,9,4,4,9510.31668595092
10033,1,2,7,122906,1,2017,7,1,2017,7,1,0,1,,2,,,,1,2,11,,,2,1,1,,,,,4600,0,0,0,0,4600,0,0,0,0,0,0,2,,,,,,,,1,1,,,,,,,5,9,5,9,4,9,5,5,5,9,5,3,9510.31668595092
10035,1,2,8,122815,2,2017,8,14,2017,8,16,2,3,1,,,,5,1,2,4,1,3,4,1,1,,,,,730000,0,0,0,200000,70000,300000,160000,0,0,0,0,1,1,,,,,,,2,,,,,,,,5,9,5,5,5,9,5,5,5,9,2,3,4608.45299434334
10036,1,1,5,109327,1,2017,5,5,2017,5,5,0,1,,,,,5,1,7,6,,,5,1,1,,,,,150000,0,0,0,0,0,100000,0,50000,0,0,0,2,,,,,,,,2,,,,,,,,3,9,4,9,4,4,4,5,5,9,4,4,3565.17234878719
10037,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,1,1,5,110237,1,2017,5,27,2017,5,27,0,1,,2,,,,1,3,11,,,2,1,1,,,,,170000,30000,0,0,0,40000,100000,0,0,0,0,0,2,,,,,,,,2,,,,,,,,5,9,4,9,5,4,4,4,4,4,4,4,6242.56952800762
10039,1,1,5,110245,1,2017,5,27,2017,5,27,0,1,,2,,,,1,8,11,,,2,1,1,,,,,130000,40000,0,0,0,60000,30000,0,0,0,0,0,2,,,,,,,,2,,,,,,,,4,9,4,9,4,4,4,4,4,9,4,4,6242.56952800762
