"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"영락보린원","B2231","(아동) 아동양육시설","아동복지시설","자치구","김병삼","1117000000","용산구","서울특별시 용산구 후암로4길 70"
"등대지역아동센터","B2244","(아동) 지역아동센터","아동복지시설","자치구","김효순","1114000000","중구","서울특별시 중구 중림동200 삼성사이버빌리지상가 901호 902호"
"노량진행복한홈스쿨","B2257","(아동) 지역아동센터","아동복지시설","자치구","차명신","1159000000","동작구","서울특별시 동작구 노량진로30길 22"
"전진상지역아동센터","B2263","(아동) 지역아동센터","아동복지시설","자치구","김정미","1154500000","금천구","서울특별시 금천구 탑골로3가길 22지하1층"
"아이들세상지역아동센터","B2274","(아동) 지역아동센터","아동복지시설","자치구","이현정","1154500000","금천구","서울특별시 금천구 독산로 1904층 (독산동)"
"1318해피존새움터지역아동센터","B2282","(아동) 지역아동센터","아동복지시설","자치구","문혜숙","1121500000","광진구","서울특별시 광진구 자양로 71-7희년의집 3층"
"우리들공부방지역아동센터","B2313","(아동) 지역아동센터","아동복지시설","자치구","천인숙","1120000000","성동구","서울특별시 성동구 성수일로4가길 7 (성수동2가)"
"나비훨훨지역아동센터","B2317","(아동) 지역아동센터","아동복지시설","자치구","안성영","1114000000","중구","서울특별시 중구 다산로 752층"
"신양하늘꿈지역아동센터","B2319","(아동) 지역아동센터","아동복지시설","자치구","이명희","1121500000","광진구","서울특별시 광진구 동일로 44-10 (자양동)"
"조이스터디지역아동센터","B2326","(아동) 지역아동센터","아동복지시설","자치구","신선영","1120000000","성동구","서울특별시 성동구 청계천로10다길 34-143층"
"마리스타지역아동센터","B2348","(아동) 지역아동센터","아동복지시설","자치구","유완희","1144000000","마포구","서울특별시 마포구 토정로2길 37"
"푸른공부방지역아동센터","B2352","(아동) 지역아동센터","아동복지시설","자치구","이정순","1156000000","영등포구","서울특별시 영등포구 양산로 138-1 (당산동1가)"
"지역아동센터열린공부방","B2356","(아동) 지역아동센터","아동복지시설","자치구","양승일","1144000000","마포구","서울특별시 마포구 월드컵북로48길 8"
"만나지역아동센터","B2370","(아동) 지역아동센터","아동복지시설","자치구","김영숙","1126000000","중랑구","서울특별시 중랑구 동일로 620"
"참좋은지역아동센터","B2382","(아동) 지역아동센터","아동복지시설","자치구","김제리","1126000000","중랑구","서울특별시 중랑구 용마산로 442-1"
"사르넬리지역아동센터","B2383","(아동) 지역아동센터","아동복지시설","자치구","김소은","1156000000","영등포구","서울특별시 영등포구 대림로22길 40"
"꿈나래지역아동센터","B2385","(아동) 지역아동센터","아동복지시설","자치구","김명화","1121500000","광진구","서울특별시 광진구 영화사로 93층"
"성심지역아동센터","B2386","(아동) 지역아동센터","아동복지시설","자치구","이재옥","1126000000","중랑구","서울특별시 중랑구 용마산로94길 88"
"밝은내지역아동센터","B2395","(아동) 지역아동센터","아동복지시설","자치구","주현정","1147000000","양천구","서울특별시 양천구 신월로24길 19-03층"
